year,sector,observed_sets,total_sets,observed_hooks,total_hooks,coverage_rate,observed_trips
2006,DSLL,1548,7176,4247712,19690944,0.2157,119
2007,DSLL,932,4379,2590028,12169241,0.2128,71
2008,DSLL,1214,5719,3548522,16716637,0.2123,93
2009,DSLL,1171,5641,3357257,16172747,0.2076,90
2010,DSLL,1250,5871,3613750,16973061,0.2129,96
2011,DSLL,1200,6078,3424800,17346612,0.1974,92
2012,DSLL,1330,6155,4198810,19431335,0.2161,102
2013,DSLL,1497,7069,3782919,17863363,0.2118,115
2014,DSLL,1207,5343,3506335,15521415,0.2259,92
2015,DSLL,1280,6617,3731200,19288555,0.1934,98
2016,DSLL,1389,6430,3728076,17258120,0.216,106
2017,DSLL,1472,6837,4174592,19389732,0.2153,113
2018,DSLL,1376,6137,3895456,17373847,0.2242,105
2019,DSLL,1317,5813,3404445,15026605,0.2266,101
2020,DSLL,1257,6086,3869046,18732708,0.2065,96
2021,DSLL,1321,6305,4039618,19280690,0.2095,101
2022,DSLL,1340,6404,3508120,16765672,0.2092,103
2023,DSLL,1302,5989,3934644,18098758,0.2174,100
2024,DSLL,1271,6374,3593117,18019298,0.1994,97
2025,DSLL,1166,5481,3349918,15746913,0.2127,89
