species_code,year,interactions
BFAL,2006,0
BFAL,2007,8
BFAL,2008,16
BFAL,2009,30
BFAL,2010,0
BFAL,2011,28
BFAL,2012,7
BFAL,2013,8
BFAL,2014,49
BFAL,2015,21
BFAL,2016,25
BFAL,2017,39
BFAL,2018,52
BFAL,2019,10
BFAL,2020,43
BFAL,2021,47
BFAL,2022,33
BFAL,2023,39
BFAL,2024,47
BFAL,2025,34
LAAL,2006,36
LAAL,2007,36
LAAL,2008,37
LAAL,2009,26
LAAL,2010,21
LAAL,2011,17
LAAL,2012,2
LAAL,2013,42
LAAL,2014,45
LAAL,2015,2
LAAL,2016,9
LAAL,2017,79
LAAL,2018,78
LAAL,2019,53
LAAL,2020,52
LAAL,2021,12
LAAL,2022,23
LAAL,2023,32
LAAL,2024,54
LAAL,2025,54
OWT,2006,22
OWT,2007,6
OWT,2008,1
OWT,2009,76
OWT,2010,79
OWT,2011,0
OWT,2012,0
OWT,2013,5
OWT,2014,32
OWT,2015,57
OWT,2016,15
OWT,2017,54
OWT,2018,140
OWT,2019,30
OWT,2020,73
OWT,2021,23
OWT,2022,85
OWT,2023,116
OWT,2024,65
OWT,2025,3
SMA,2006,237
SMA,2007,655
SMA,2008,941
SMA,2009,622
SMA,2010,678
SMA,2011,585
SMA,2012,848
SMA,2013,975
SMA,2014,1420
SMA,2015,1092
SMA,2016,843
SMA,2017,1389
SMA,2018,1381
SMA,2019,1303
SMA,2020,861
SMA,2021,1309
SMA,2022,1122
SMA,2023,1073
SMA,2024,1388
SMA,2025,1121
LBT,2006,7
LBT,2007,2
LBT,2008,6
LBT,2009,5
LBT,2010,2
LBT,2011,5
LBT,2012,5
LBT,2013,1
LBT,2014,3
LBT,2015,4
LBT,2016,13
LBT,2017,6
LBT,2018,13
LBT,2019,14
LBT,2020,6
LBT,2021,12
LBT,2022,12
LBT,2023,16
LBT,2024,6
LBT,2025,9
LHT,2006,7
LHT,2007,0
LHT,2008,0
LHT,2009,14
LHT,2010,11
LHT,2011,7
LHT,2012,16
LHT,2013,19
LHT,2014,6
LHT,2015,24
LHT,2016,22
LHT,2017,13
LHT,2018,24
LHT,2019,24
LHT,2020,20
LHT,2021,12
LHT,2022,31
LHT,2023,25
LHT,2024,45
LHT,2025,39
