species_code,year,variable,interaction_env,fleet_env
BFAL,2006,Chlorophyll-a,0.18778,0.10402
BFAL,2007,Chlorophyll-a,0.153,0.10641
BFAL,2008,Chlorophyll-a,0.16739,0.11482
BFAL,2009,Chlorophyll-a,0.03316,0.0896
BFAL,2010,Chlorophyll-a,0.12231,0.07459
BFAL,2011,Chlorophyll-a,0.08795,0.08726
BFAL,2012,Chlorophyll-a,0.11503,0.06368
BFAL,2013,Chlorophyll-a,0.01885,0.05733
BFAL,2014,Chlorophyll-a,0.07404,0.02413
BFAL,2015,Chlorophyll-a,0.07785,0.02831
BFAL,2016,Chlorophyll-a,0.14987,0.03858
BFAL,2017,Chlorophyll-a,0.13864,0.08433
BFAL,2018,Chlorophyll-a,0.06895,0.03044
BFAL,2019,Chlorophyll-a,0.01557,0.02652
BFAL,2020,Chlorophyll-a,0.15334,0.11052
BFAL,2021,Chlorophyll-a,0.14017,0.07961
BFAL,2022,Chlorophyll-a,0.16245,0.09668
BFAL,2023,Chlorophyll-a,0.09509,-0.0168
BFAL,2024,Chlorophyll-a,0.1701,0.12534
BFAL,2025,Chlorophyll-a,0.13025,0.13293
BFAL,2006,Distance to seamount,89.23982,55.20716
BFAL,2007,Distance to seamount,29.65544,78.37089
BFAL,2008,Distance to seamount,101.88718,119.68991
BFAL,2009,Distance to seamount,77.43035,46.92019
BFAL,2010,Distance to seamount,-15.04534,107.69562
BFAL,2011,Distance to seamount,86.96867,168.98456
BFAL,2012,Distance to seamount,49.68311,108.40833
BFAL,2013,Distance to seamount,191.51179,111.72234
BFAL,2014,Distance to seamount,151.7408,91.29312
BFAL,2015,Distance to seamount,-46.54884,-1.05461
BFAL,2016,Distance to seamount,23.12611,110.09487
BFAL,2017,Distance to seamount,128.56662,36.01033
BFAL,2018,Distance to seamount,141.69097,59.08643
BFAL,2019,Distance to seamount,100.68823,141.44621
BFAL,2020,Distance to seamount,7.35448,88.09652
BFAL,2021,Distance to seamount,57.27741,70.94051
BFAL,2022,Distance to seamount,122.32299,57.56878
BFAL,2023,Distance to seamount,49.79746,101.04781
BFAL,2024,Distance to seamount,19.95226,97.47029
BFAL,2025,Distance to seamount,123.90885,127.09868
BFAL,2006,Sea-level anomaly,0.05566,0.00367
BFAL,2007,Sea-level anomaly,-0.01582,0.02291
BFAL,2008,Sea-level anomaly,0.04011,0.00966
BFAL,2009,Sea-level anomaly,0.02582,0.00814
BFAL,2010,Sea-level anomaly,-0.04624,0.00787
BFAL,2011,Sea-level anomaly,0.01768,0.02525
BFAL,2012,Sea-level anomaly,0.03446,0.02954
BFAL,2013,Sea-level anomaly,0.08338,-0.00153
BFAL,2014,Sea-level anomaly,-0.0144,-0.01739
BFAL,2015,Sea-level anomaly,-0.03155,0.01508
BFAL,2016,Sea-level anomaly,0.04336,-0.01586
BFAL,2017,Sea-level anomaly,0.03921,0.02737
BFAL,2018,Sea-level anomaly,0.05045,-0.00911
BFAL,2019,Sea-level anomaly,0.00407,0.00205
BFAL,2020,Sea-level anomaly,0.02227,0.00686
BFAL,2021,Sea-level anomaly,0.00224,0.01502
BFAL,2022,Sea-level anomaly,0.05787,0.03156
BFAL,2023,Sea-level anomaly,0.0286,-0.03823
BFAL,2024,Sea-level anomaly,0.02359,0.01256
BFAL,2025,Sea-level anomaly,0.04809,0.04972
BFAL,2006,SST,17.73472,19.30787
BFAL,2007,SST,19.00454,19.09619
BFAL,2008,SST,18.58512,19.60973
BFAL,2009,SST,17.86684,19.96487
BFAL,2010,SST,21.55058,19.6455
BFAL,2011,SST,22.48579,19.33163
BFAL,2012,SST,19.8069,21.02889
BFAL,2013,SST,20.76064,20.80324
BFAL,2014,SST,20.51409,20.5355
BFAL,2015,SST,18.19377,19.28945
BFAL,2016,SST,20.28151,21.02884
BFAL,2017,SST,19.49305,18.36078
