species_code,year,centroid_lon,centroid_lat,pct_outside_hist90
BFAL,2006,-160.1017,31.1695,2.06
BFAL,2007,-156.1936,29.7971,0.0
BFAL,2008,-155.3592,30.4292,2.62
BFAL,2009,-155.0583,30.5679,3.23
BFAL,2010,-159.91,29.7513,0.21
BFAL,2011,-160.7846,29.3329,1.99
BFAL,2012,-160.3019,29.4465,5.48
BFAL,2013,-154.9395,32.413,3.07
BFAL,2014,-154.473,28.9798,2.74
BFAL,2015,-159.6089,30.9286,3.38
BFAL,2016,-158.1251,30.0858,0.73
BFAL,2017,-158.0122,28.7004,1.88
BFAL,2018,-157.2903,29.6646,3.59
BFAL,2019,-157.514,31.6514,2.88
BFAL,2020,-156.1587,30.6038,2.4
BFAL,2021,-160.0854,30.8792,4.3
BFAL,2022,-155.2772,30.489,0.0
BFAL,2023,-157.2424,30.8468,2.16
BFAL,2024,-158.6315,28.9604,4.72
BFAL,2025,-157.5569,31.3858,0.0
LAAL,2006,-165.4857,29.492,3.05
LAAL,2007,-164.2621,29.8599,3.97
LAAL,2008,-159.8061,29.5361,1.66
LAAL,2009,-162.9383,28.7604,3.47
LAAL,2010,-162.8158,30.2933,1.43
LAAL,2011,-161.6363,29.8911,0.07
LAAL,2012,-164.6882,30.3752,0.0
LAAL,2013,-164.9402,29.4938,1.82
LAAL,2014,-162.2198,29.2215,4.91
LAAL,2015,-164.2886,31.7238,2.06
LAAL,2016,-161.9489,30.7768,4.97
LAAL,2017,-165.6553,28.4835,1.31
LAAL,2018,-163.4172,29.2279,0.08
LAAL,2019,-162.0223,28.5626,5.83
LAAL,2020,-161.0965,29.2419,4.59
LAAL,2021,-167.7733,30.1202,0.29
LAAL,2022,-161.7699,29.8027,2.29
LAAL,2023,-165.3611,29.9813,1.96
LAAL,2024,-163.2544,29.1101,1.53
LAAL,2025,-160.8084,31.0855,0.0
OWT,2006,-164.6544,24.9042,3.23
OWT,2007,-167.789,27.3338,2.65
OWT,2008,-165.0665,25.6616,3.14
OWT,2009,-164.3664,27.3006,2.47
OWT,2010,-162.976,25.364,0.75
OWT,2011,-167.8837,25.7446,0.62
OWT,2012,-167.9081,26.3483,4.2
OWT,2013,-164.8835,25.5582,1.8
OWT,2014,-164.325,26.0969,3.97
OWT,2015,-163.8807,26.6518,1.09
OWT,2016,-167.4898,26.1784,2.77
OWT,2017,-165.9213,27.7541,2.03
OWT,2018,-165.9579,25.228,0.0
OWT,2019,-165.0936,25.3902,2.2
OWT,2020,-164.6913,27.257,2.36
OWT,2021,-165.3129,25.8885,3.64
OWT,2022,-169.9035,25.9994,0.0
OWT,2023,-166.1983,25.916,4.83
OWT,2024,-164.291,25.2122,0.72
OWT,2025,-157.7583,24.9469,0.0
SMA,2006,-145.2265,33.0489,2.48
SMA,2007,-145.4118,32.0942,5.95
SMA,2008,-147.2443,33.9822,7.28
SMA,2009,-148.9756,34.0143,2.64
SMA,2010,-145.8618,31.9916,5.27
SMA,2011,-149.7601,31.7656,3.27
SMA,2012,-147.975,32.1205,5.33
SMA,2013,-148.373,32.9074,0.01
SMA,2014,-150.845,32.7088,4.24
SMA,2015,-147.8797,32.6333,0.0
SMA,2016,-147.583,32.7248,2.01
SMA,2017,-147.675,31.8142,1.08
SMA,2018,-147.2823,33.8892,2.3
SMA,2019,-146.448,32.9664,2.8
SMA,2020,-145.5275,34.081,3.45
SMA,2021,-148.1236,32.2854,1.36
SMA,2022,-148.0883,32.4343,2.65
SMA,2023,-145.793,31.8382,0.95
SMA,2024,-147.9519,34.8915,1.74
SMA,2025,-151.1987,32.9589,5.89
LBT,2006,-152.0676,32.2277,0.0
LBT,2007,-152.6863,31.4039,6.51
LBT,2008,-152.5525,31.2146,2.2
LBT,2009,-156.0377,32.6437,1.13
LBT,2010,-154.3913,31.3208,3.3
LBT,2011,-152.4305,31.6227,4.77
LBT,2012,-149.7951,32.1163,5.87
LBT,2013,-153.8919,33.0872,1.66
LBT,2014,-153.249,31.947,7.39
LBT,2015,-153.5421,30.4244,5.43
LBT,2016,-156.4797,33.5861,0.0
LBT,2017,-153.0867,32.0297,1.57
LBT,2018,-152.4265,32.5532,3.9
LBT,2019,-154.8449,31.6905,2.99
LBT,2020,-150.2632,32.9599,3.46
LBT,2021,-151.28,32.6963,2.07
LBT,2022,-151.0726,32.8244,2.87
LBT,2023,-154.2577,32.7922,0.0
LBT,2024,-153.8651,30.7721,5.48
LBT,2025,-155.4056,31.795,12.5
LHT,2006,-153.1244,32.0985,3.54
LHT,2007,-152.3044,34.6709,3.29
LHT,2008,-150.6019,31.9681,2.84
LHT,2009,-151.4885,32.737,4.79
LHT,2010,-152.6275,32.6263,2.58
LHT,2011,-152.6809,32.3918,0.78
LHT,2012,-153.0734,30.8453,0.97
LHT,2013,-155.6123,30.4949,2.45
LHT,2014,-154.3501,34.7744,2.67
LHT,2015,-153.7051,31.8543,0.0
LHT,2016,-151.7278,32.4424,1.79
LHT,2017,-150.7446,30.0466,2.62
LHT,2018,-150.4638,32.8139,2.74
LHT,2019,-150.2735,31.7963,2.17
LHT,2020,-151.9423,31.8691,3.1
LHT,2021,-152.3322,33.9066,3.79
LHT,2022,-154.5014,32.3661,2.69
LHT,2023,-152.2716,32.2013,5.66
LHT,2024,-152.07,31.6305,3.54
LHT,2025,-152.7128,32.446,5.41
