Variable,Current Interaction Environment,Historical Interaction Median,Absolute Anomaly,Current Fleet Environment,Current Selection Anomaly,Historical Selection Median,Selection Shift,Interaction Percentile,Selection Percentile,Historical Years,Species
Chlorophyll-a,0.130249781737023,0.08457331278663,0.0456764689503928,0.132927972461626,-0.00267819072460371,-0.0107158845609392,0.00803769383633554,94.7368421052632,78.9473684210526,19.0,Black-footed albatross
Distance to seamount,123.908849968579,70.7141902781054,53.1946596904732,127.098684574638,-3.18983460605918,-6.34962058157612,3.15978597551694,94.7368421052632,52.6315789473684,19.0,Black-footed albatross
Sea-level anomaly,0.0480871871871872,0.0218534024809471,0.02623378470624,0.0497177181745345,-0.00163053098734734,-0.0158109790501261,0.0141804480627788,78.9473684210526,73.6842105263158,19.0,Black-footed albatross
SST,18.5537548958219,19.9353928812905,-1.38163798546858,18.2023781725444,0.351376723277486,0.157461988230185,0.193914735047301,10.5263157894737,57.8947368421053,19.0,Black-footed albatross
Chlorophyll-a,0.151482562260323,0.0901312586336091,0.0613513036267141,0.132927972461626,0.0185545897986968,-0.00194487070243383,0.0204994605011306,89.4736842105263,78.9473684210526,19.0,Laysan albatross
Distance to seamount,145.522513745769,57.5138558145177,88.0086579312517,127.098684574638,18.4238291711316,-17.7838356120685,36.2076647832001,94.7368421052632,94.7368421052632,19.0,Laysan albatross
Sea-level anomaly,0.0430490054869684,0.0150509097093008,0.0279980957776677,0.0497177181745345,-0.00666871268756608,-0.00996225484574695,0.00329354215818087,68.421052631579,57.8947368421053,19.0,Laysan albatross
SST,18.3182239344508,19.7951975390862,-1.47697360463541,18.2023781725444,0.115845761906435,-0.0475221421001102,0.163367904006545,21.0526315789474,52.6315789473684,19.0,Laysan albatross
Chlorophyll-a,0.0680326145578244,0.0609671286269072,0.00706548593091719,0.132927972461626,-0.0648953579038021,-0.0333974568697722,-0.0314979010340299,83.3333333333333,5.55555555555556,18.0,Oceanic whitetip shark
Distance to seamount,32.0709844647328,34.1519133858297,-2.08092892109696,127.098684574638,-95.027700109905,-40.8903515748057,-54.1373485350994,38.8888888888889,0.0,18.0,Oceanic whitetip shark
Sea-level anomaly,0.16338024691358,0.0165415388364919,0.146838708077088,0.0497177181745345,0.113662528739046,-0.00504329773328708,0.118705826472333,94.4444444444444,100.0,18.0,Oceanic whitetip shark
SST,23.5231854256854,24.545270065878,-1.02208464019258,18.2023781725444,5.32080725314104,4.8789708525062,0.441836400634838,11.1111111111111,66.6666666666667,18.0,Oceanic whitetip shark
Chlorophyll-a,0.15283448471893,0.116188844486912,0.0366456402320187,0.132927972461626,0.0199065122573039,0.0184289170019209,0.00147759525538298,90.0,70.0,20.0,Shortfin mako shark
Distance to seamount,125.170466147766,86.2775345636423,38.8929315841237,127.098684574638,-1.92821842687181,10.36881487394,-12.2970333008118,95.0,5.0,20.0,Shortfin mako shark
Sea-level anomaly,0.0520586809116809,0.0360732516288597,0.0159854292828213,0.0497177181745345,0.00234096273714642,0.00363419938463883,-0.00129323664749241,70.0,50.0,20.0,Shortfin mako shark
SST,17.7038956009399,18.49003801039,-0.786142409450058,18.2023781725444,-0.498482571604452,-0.897663113994357,0.399180542389905,15.0,80.0,20.0,Shortfin mako shark
Chlorophyll-a,0.093519247667393,0.0988136009434104,-0.00529435327601739,0.132927972461626,-0.0394087247942335,0.0013593812646029,-0.0407681060588364,31.578947368421,0.0,19.0,Leatherback turtle
Distance to seamount,96.387648854513,78.5327868027997,17.8548620517134,127.098684574638,-30.7110357201248,5.10858048470735,-35.8196162048322,73.6842105263158,10.5263157894737,19.0,Leatherback turtle
Sea-level anomaly,0.0557543981481482,0.0300045534691197,0.0257498446790285,0.0497177181745345,0.00603667997361363,0.00136161192042333,0.0046750680531903,73.6842105263158,63.1578947368421,19.0,Leatherback turtle
SST,19.3034997923588,19.6019511752137,-0.298451382854861,18.2023781725444,1.10112161981442,0.312622359608451,0.788499260205974,47.3684210526316,84.2105263157895,19.0,Leatherback turtle
Chlorophyll-a,0.140674212497613,0.108755499205774,0.0319187132918388,0.132927972461626,0.00774624003598617,0.011688217802456,-0.00394197776646979,88.8888888888889,33.3333333333333,18.0,Loggerhead turtle
Distance to seamount,136.951013327596,100.180155028523,36.7708582990724,127.098684574638,9.85232875295789,18.3200695950183,-8.4677408420604,83.3333333333333,38.8888888888889,18.0,Loggerhead turtle
Sea-level anomaly,0.0555646396396396,0.0432711265279284,0.0122935131117112,0.0497177181745345,0.00584692146510511,0.0204804709899635,-0.0146335495248584,66.6666666666667,16.6666666666667,18.0,Loggerhead turtle
SST,17.9040800251543,18.3484644957564,-0.444384470602134,18.2023781725444,-0.298298147390085,-0.969725710158794,0.671427562768709,22.2222222222222,83.3333333333333,18.0,Loggerhead turtle
